   0.0000000000000000e+00	   6.6855000000000000e+04	
   6.1100000000000003e+00	   6.6483473800039181e+04	
   1.2220000000000001e+01	   6.6114916480233180e+04	
   1.8330000000000002e+01	   6.5749299303803389e+04	
   2.4440000000000001e+01	   6.5386593832881277e+04	
   3.0550000000000001e+01	   6.5026771925326582e+04	
   3.6660000000000004e+01	   6.4669805731579414e+04	
   4.2770000000000003e+01	   6.4315667691546187e+04	
   4.8880000000000003e+01	   6.3964330531518994e+04	
   5.4990000000000002e+01	   6.3615767261127883e+04	
   6.1100000000000001e+01	   6.3269951170325920e+04	
   6.7210000000000008e+01	   6.2926855826406463e+04	
   7.3320000000000007e+01	   6.2586455071052565e+04	
   7.9430000000000007e+01	   6.2248723017417818e+04	
   8.5540000000000006e+01	   6.1913634047238636e+04	
   9.1650000000000006e+01	   6.1581162807977453e+04	
   9.7760000000000005e+01	   6.1251284209996433e+04	
   1.0387000000000000e+02	   6.0923973423761723e+04	
   1.0998000000000000e+02	   6.0599205877077380e+04	
   1.1609000000000000e+02	   6.0276957252349137e+04	
   1.2220000000000000e+02	   5.9957203483877456e+04	
   1.2831000000000000e+02	   5.9639920755179541e+04	
   1.3442000000000002e+02	   5.9325085496340093e+04	
   1.4053000000000000e+02	   5.9012674381390483e+04	
   1.4664000000000001e+02	   5.8702664325715938e+04	
   1.5275000000000000e+02	   5.8395032483490562e+04	
   1.5886000000000001e+02	   5.8089756245139841e+04	
   1.6497000000000000e+02	   5.7786813234830312e+04	
   1.7108000000000001e+02	   5.7486181307986197e+04	
   1.7719000000000000e+02	   5.7187838548832566e+04	
   1.8330000000000001e+02	   5.6891763267964823e+04	
   1.8941000000000000e+02	   5.6597933999944304e+04	
   1.9552000000000001e+02	   5.6306329500919644e+04	
   2.0163000000000002e+02	   5.6016928746273508e+04	
   2.0774000000000001e+02	   5.5729710928294618e+04	
   2.1385000000000002e+02	   5.5444655453874788e+04	
   2.1996000000000001e+02	   5.5161741942230467e+04	
   2.2607000000000002e+02	   5.4880950222648782e+04	
   2.3218000000000001e+02	   5.4602260332257814e+04	
   2.3829000000000002e+02	   5.4325652513820547e+04	
   2.4440000000000001e+02	   5.4051107213552641e+04	
   2.5051000000000002e+02	   5.3778605078963476e+04	
   2.5662000000000000e+02	   5.3508126956720356e+04	
   2.6273000000000002e+02	   5.3239653890535556e+04	
   2.6884000000000003e+02	   5.2973167119076083e+04	
   2.7494999999999999e+02	   5.2708648073895711e+04	
   2.8106000000000000e+02	   5.2446078377389218e+04	
   2.8717000000000002e+02	   5.2185439840768551e+04	
   2.9328000000000003e+02	   5.1926714462060641e+04	
   2.9939000000000004e+02	   5.1669884424126642e+04	
   3.0550000000000000e+02	   5.1414932092702424e+04	
   3.1161000000000001e+02	   5.1161840014459995e+04	
   3.1772000000000003e+02	   5.0910590915089721e+04	
   3.2383000000000004e+02	   5.0661167697403056e+04	
   3.2994000000000000e+02	   5.0413553439455623e+04	
   3.3605000000000001e+02	   5.0167731392690315e+04	
   3.4216000000000003e+02	   4.9923684980100399e+04	
   3.4827000000000004e+02	   4.9681397794412100e+04	
   3.5438000000000000e+02	   4.9440853596286848e+04	
   3.6049000000000001e+02	   4.9202036312542637e+04	
   3.6660000000000002e+02	   4.8964930034394434e+04	
   3.7271000000000004e+02	   4.8729519015713493e+04	
   3.7881999999999999e+02	   4.8495787671305217e+04	
   3.8493000000000001e+02	   4.8263720575205516e+04	
   3.9104000000000002e+02	   4.8033302458995335e+04	
   3.9715000000000003e+02	   4.7804518210133327e+04	
   4.0326000000000005e+02	   4.7577352870306226e+04	
   4.0937000000000000e+02	   4.7351791633797009e+04	
   4.1548000000000002e+02	   4.7127819845870428e+04	
   4.2159000000000003e+02	   4.6905423001175848e+04	
   4.2770000000000005e+02	   4.6684586742167230e+04	
   4.3381000000000000e+02	   4.6465296857539899e+04	
   4.3992000000000002e+02	   4.6247539280684170e+04	
   4.4603000000000003e+02	   4.6031300088155396e+04	
   4.5214000000000004e+02	   4.5816565498160533e+04	
   4.5825000000000000e+02	   4.5603321869060717e+04	
   4.6436000000000001e+02	   4.5391555697890013e+04	
   4.7047000000000003e+02	   4.5181253618889939e+04	
   4.7658000000000004e+02	   4.4972402402059677e+04	
   4.8269000000000000e+02	   4.4764988951721767e+04	
   4.8880000000000001e+02	   4.4559000305103211e+04	
   4.9491000000000003e+02	   4.4354423630931684e+04	
   5.0102000000000004e+02	   4.4151246228046788e+04	
   5.0713000000000005e+02	   4.3949455524026162e+04	
   5.1324000000000001e+02	   4.3749039073826294e+04	
   5.1935000000000002e+02	   4.3549984558437820e+04	
   5.2546000000000004e+02	   4.3352279783555248e+04	
   5.3157000000000005e+02	   4.3155912678260931e+04	
   5.3768000000000006e+02	   4.2960871293723008e+04	
   5.4379000000000008e+02	   4.2767143801907405e+04	
   5.4989999999999998e+02	   4.2574718494303488e+04	
   5.5600999999999999e+02	   4.2383583780663408e+04	
   5.6212000000000000e+02	   4.2193728187754896e+04	
   5.6823000000000002e+02	   4.2005140358127428e+04	
   5.7434000000000003e+02	   4.1817809048891490e+04	
   5.8045000000000005e+02	   4.1631723130511018e+04	
   5.8656000000000006e+02	   4.1446871585608656e+04	
   5.9267000000000007e+02	   4.1263243507783773e+04	
   5.9878000000000009e+02	   4.1080828100443192e+04	
   6.0488999999999999e+02	   4.0899614675644363e+04	
   6.1100000000000000e+02	   4.0719592652950894e+04	
   6.1711000000000001e+02	   4.0540751558300319e+04	
   6.2322000000000003e+02	   4.0363081022883998e+04	
